threshold	false_positive_rate	true_positive rate
0.01	0.016304347826086956	0.993006993006993
0.02	0.014492753623188406	0.993006993006993
0.03	0.014492753623188406	0.993006993006993
0.04	0.012681159420289856	0.993006993006993
0.05	0.012681159420289856	0.9912587412587412
0.06	0.012681159420289856	0.9912587412587412
0.07	0.012681159420289856	0.9912587412587412
0.08	0.012681159420289856	0.9912587412587412
0.09	0.012681159420289856	0.9912587412587412
0.1	0.012681159420289856	0.9912587412587412
0.11	0.012681159420289856	0.9912587412587412
0.12	0.012681159420289856	0.9912587412587412
0.13	0.012681159420289856	0.9912587412587412
0.14	0.012681159420289856	0.9912587412587412
0.15	0.012681159420289856	0.9912587412587412
0.16	0.012681159420289856	0.9912587412587412
0.17	0.012681159420289856	0.9912587412587412
0.18	0.012681159420289856	0.9912587412587412
0.19	0.012681159420289856	0.9877622377622378
0.2	0.012681159420289856	0.9877622377622378
0.21	0.012681159420289856	0.9877622377622378
0.22	0.012681159420289856	0.9877622377622378
0.23	0.012681159420289856	0.9877622377622378
0.24	0.012681159420289856	0.9877622377622378
0.25	0.012681159420289856	0.9877622377622378
0.26	0.012681159420289856	0.9877622377622378
0.27	0.012681159420289856	0.9877622377622378
0.28	0.012681159420289856	0.9877622377622378
0.29	0.012681159420289856	0.9877622377622378
0.3	0.012681159420289856	0.986013986013986
0.31	0.012681159420289856	0.986013986013986
0.32	0.012681159420289856	0.986013986013986
0.33	0.012681159420289856	0.986013986013986
0.34	0.012681159420289856	0.986013986013986
0.35	0.012681159420289856	0.986013986013986
0.36	0.012681159420289856	0.986013986013986
0.37	0.012681159420289856	0.986013986013986
0.38	0.012681159420289856	0.986013986013986
0.39	0.012681159420289856	0.986013986013986
0.4	0.012681159420289856	0.986013986013986
0.41	0.012681159420289856	0.986013986013986
0.42	0.012681159420289856	0.986013986013986
0.43	0.010869565217391304	0.986013986013986
0.44	0.010869565217391304	0.986013986013986
0.45	0.010869565217391304	0.986013986013986
0.46	0.010869565217391304	0.986013986013986
0.47	0.010869565217391304	0.986013986013986
0.48	0.010869565217391304	0.986013986013986
0.49	0.010869565217391304	0.986013986013986
0.5	0.010869565217391304	0.986013986013986
0.51	0.010869565217391304	0.9825174825174825
0.52	0.010869565217391304	0.9825174825174825
0.53	0.010869565217391304	0.9825174825174825
0.54	0.010869565217391304	0.9825174825174825
0.55	0.010869565217391304	0.9825174825174825
0.56	0.010869565217391304	0.9825174825174825
0.57	0.010869565217391304	0.9825174825174825
0.58	0.010869565217391304	0.9825174825174825
0.59	0.010869565217391304	0.9825174825174825
0.6	0.010869565217391304	0.9825174825174825
0.61	0.010869565217391304	0.9825174825174825
0.62	0.010869565217391304	0.9825174825174825
0.63	0.010869565217391304	0.9825174825174825
0.64	0.010869565217391304	0.9825174825174825
0.65	0.010869565217391304	0.9825174825174825
0.66	0.010869565217391304	0.9825174825174825
0.67	0.010869565217391304	0.9825174825174825
0.68	0.010869565217391304	0.9825174825174825
0.69	0.010869565217391304	0.9825174825174825
0.7	0.010869565217391304	0.9825174825174825
0.71	0.010869565217391304	0.9825174825174825
0.72	0.010869565217391304	0.9807692307692307
0.73	0.010869565217391304	0.9807692307692307
0.74	0.010869565217391304	0.9807692307692307
0.75	0.010869565217391304	0.9807692307692307
0.76	0.010869565217391304	0.9807692307692307
0.77	0.010869565217391304	0.9807692307692307
0.78	0.010869565217391304	0.9807692307692307
0.79	0.010869565217391304	0.9807692307692307
0.8	0.010869565217391304	0.9807692307692307
0.81	0.010869565217391304	0.9807692307692307
0.82	0.010869565217391304	0.9807692307692307
0.83	0.010869565217391304	0.9807692307692307
0.84	0.010869565217391304	0.9807692307692307
0.85	0.010869565217391304	0.9790209790209791
0.86	0.010869565217391304	0.9790209790209791
0.87	0.010869565217391304	0.9790209790209791
0.88	0.010869565217391304	0.9790209790209791
0.89	0.010869565217391304	0.9790209790209791
0.9	0.010869565217391304	0.9790209790209791
0.91	0.010869565217391304	0.9772727272727273
0.92	0.010869565217391304	0.9772727272727273
0.93	0.010869565217391304	0.9772727272727273
0.94	0.010869565217391304	0.9772727272727273
0.95	0.010869565217391304	0.9772727272727273
0.96	0.010869565217391304	0.9772727272727273
0.97	0.010869565217391304	0.9772727272727273
0.98	0.010869565217391304	0.9772727272727273
0.99	0.010869565217391304	0.9772727272727273
